timestamp,BNBUSDT,BTCUSDT,ETHUSDT
2025-04-14 12:45:00,591.35,85175.99,1673.29
2025-04-14 12:50:00,591.59,85106.43,1671.55
2025-04-14 12:55:00,592.49,85128.76,1677.73
2025-04-14 13:00:00,592.33,85200.32,1677.27
2025-04-14 13:05:00,591.57,85017.62,1672.08
2025-04-14 13:10:00,591.76,85092.49,1675.15
2025-04-14 13:15:00,591.91,85155.17,1675.02
2025-04-14 13:20:00,591.33,84995.43,1674.05
2025-04-14 13:25:00,591.35,84944.42,1673.57
2025-04-14 13:30:00,590.06,84713.65,1666.01
2025-04-14 13:35:00,590.03,84636.0,1666.91
2025-04-14 13:40:00,589.08,84417.8,1657.51
2025-04-14 13:45:00,589.28,84370.07,1657.26
2025-04-14 13:50:00,590.19,84644.9,1663.64
2025-04-14 13:55:00,588.9,84376.66,1658.38
2025-04-14 14:00:00,589.51,84534.36,1663.74
2025-04-14 14:05:00,588.82,84518.42,1662.96
2025-04-14 14:10:00,589.82,84518.86,1662.57
2025-04-14 14:15:00,589.94,84615.99,1663.56
2025-04-14 14:20:00,590.3,84840.0,1667.52
2025-04-14 14:25:00,590.79,85074.28,1667.92
2025-04-14 14:30:00,591.18,85003.98,1668.59
2025-04-14 14:35:00,592.45,85592.48,1677.99
2025-04-14 14:40:00,591.52,85506.96,1670.87
2025-04-14 14:45:00,592.22,85739.94,1677.29
2025-04-14 14:50:00,592.27,85732.84,1680.31
2025-04-14 14:55:00,591.65,85423.6,1673.4
2025-04-14 15:00:00,590.0,84801.88,1662.57
2025-04-14 15:05:00,590.16,84839.24,1664.59
2025-04-14 15:10:00,589.15,84560.55,1656.52
2025-04-14 15:15:00,590.08,84742.13,1660.62
2025-04-14 15:20:00,589.62,84816.83,1659.39
2025-04-14 15:25:00,588.36,84540.7,1651.08
2025-04-14 15:30:00,589.18,84747.76,1655.83
2025-04-14 15:35:00,586.81,84173.92,1631.64
2025-04-14 15:40:00,587.77,84248.96,1637.08
2025-04-14 15:45:00,586.16,83816.73,1623.97
2025-04-14 15:50:00,585.74,84094.34,1628.29
2025-04-14 15:55:00,585.66,84101.16,1627.93
2025-04-14 16:00:00,585.93,84294.0,1630.4
2025-04-14 16:05:00,585.0,84001.1,1622.45
2025-04-14 16:10:00,585.51,84083.99,1626.07
2025-04-14 16:15:00,586.2,84305.98,1631.79
2025-04-14 16:20:00,585.26,84327.85,1630.33
2025-04-14 16:25:00,584.29,84214.3,1623.73
2025-04-14 16:30:00,584.46,84383.61,1627.69
2025-04-14 16:35:00,584.68,84458.0,1629.83
2025-04-14 16:40:00,585.31,84663.81,1634.75
2025-04-14 16:45:00,584.39,84542.0,1632.39
2025-04-14 16:50:00,583.9,84502.95,1631.48
2025-04-14 16:55:00,583.15,84341.99,1627.96
2025-04-14 17:00:00,583.7,84400.01,1629.76
2025-04-14 17:05:00,583.46,84420.67,1631.76
2025-04-14 17:10:00,584.14,84420.21,1634.38
2025-04-14 17:15:00,584.49,84360.0,1635.21
2025-04-14 17:20:00,585.04,84559.97,1642.39
2025-04-14 17:25:00,585.2,84527.18,1641.58
2025-04-14 17:30:00,584.64,84478.19,1638.03
2025-04-14 17:35:00,584.96,84570.0,1640.64
2025-04-14 17:40:00,585.01,84601.34,1641.47
2025-04-14 17:45:00,584.59,84566.03,1639.76
2025-04-14 17:50:00,585.83,84868.42,1647.9
2025-04-14 17:55:00,585.71,84859.73,1648.11
2025-04-14 18:00:00,585.99,85004.01,1649.75
2025-04-14 18:05:00,585.58,84946.01,1647.98
2025-04-14 18:10:00,585.42,84930.86,1644.12
2025-04-14 18:15:00,585.36,84930.0,1640.46
2025-04-14 18:20:00,585.86,84976.01,1642.73
2025-04-14 18:25:00,585.9,84896.22,1641.17
2025-04-14 18:30:00,586.63,84948.05,1641.7
2025-04-14 18:35:00,586.47,84910.01,1639.72
2025-04-14 18:40:00,586.38,84888.53,1642.42
2025-04-14 18:45:00,586.19,84899.99,1640.61
2025-04-14 18:50:00,586.08,84922.56,1639.34
2025-04-14 18:55:00,587.33,84988.04,1640.45
2025-04-14 19:00:00,587.38,85034.76,1639.29
2025-04-14 19:05:00,587.49,85172.66,1642.5
2025-04-14 19:10:00,587.38,85067.04,1644.43
2025-04-14 19:15:00,587.49,85016.38,1640.16
2025-04-14 19:20:00,587.49,85037.73,1640.41
2025-04-14 19:25:00,587.71,84980.0,1638.64
2025-04-14 19:30:00,587.56,84988.01,1638.39
2025-04-14 19:35:00,587.76,85096.73,1641.41
2025-04-14 19:40:00,587.49,85030.3,1639.07
2025-04-14 19:45:00,587.33,84965.31,1638.21
2025-04-14 19:50:00,587.38,84895.14,1635.51
2025-04-14 19:55:00,587.25,84923.07,1636.58
2025-04-14 20:00:00,587.23,84894.19,1635.05
2025-04-14 20:05:00,587.07,84811.56,1634.62
2025-04-14 20:10:00,587.16,84812.0,1634.5
2025-04-14 20:15:00,587.09,84822.91,1632.91
2025-04-14 20:20:00,586.95,84714.03,1632.01
2025-04-14 20:25:00,586.35,84649.99,1629.05
2025-04-14 20:30:00,586.6,84676.62,1630.06
2025-04-14 20:35:00,586.26,84630.0,1628.29
2025-04-14 20:40:00,586.24,84676.58,1628.84
2025-04-14 20:45:00,586.99,84855.46,1636.24
2025-04-14 20:50:00,586.94,84874.81,1637.12
2025-04-14 20:55:00,586.82,84861.82,1635.18
2025-04-14 21:00:00,586.24,84789.79,1633.15
